,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-15 16:26:42,46.184 sec,0.0,1713.0899771217246,1349.6823046489496,2934677.269714911,1681.7097318171336,1325.145134529387,2828147.622088455
1,,2018-10-15 16:26:42,46.201 sec,5.0,1375.6727975356068,1062.3588099576737,1892475.6458794426,1356.9810411429514,1049.3250960606942,1841397.5460214086
2,,2018-10-15 16:26:42,46.218 sec,10.0,1214.0466432740798,915.8495468067591,1473909.2520450607,1204.315447458468,906.6897025029974,1450375.69698709
3,,2018-10-15 16:26:42,46.237 sec,15.0,1132.6408409672797,835.393518805368,1282875.2746270665,1131.8862008431684,832.1036624837105,1281166.3716591813
4,,2018-10-15 16:26:42,46.259 sec,20.0,1092.3253269374968,794.2181062311677,1193174.6198691095,1101.4020849211536,797.089530596913,1213086.552668664
5,,2018-10-15 16:26:42,46.280 sec,25.0,1073.197066456591,770.4631360452662,1151751.9434510327,1089.4182809672081,777.7607331093693,1186832.1909055468
6,,2018-10-15 16:26:42,46.299 sec,30.0,1064.225011432152,756.3419077813752,1132574.874957764,1085.8912874923712,766.6602965333361,1179159.8882518397
7,,2018-10-15 16:26:42,46.319 sec,35.0,1058.3782692089333,749.2251267624957,1120164.5607336974,1082.4612814147133,761.4115644168544,1171722.425761983
8,,2018-10-15 16:26:42,46.344 sec,40.0,1043.277772293393,734.68008710996,1088428.5101614646,1084.0869149970385,760.917401307816,1175244.4392677965
9,,2018-10-15 16:26:42,46.367 sec,45.0,1040.3340813006457,732.4453093934536,1082295.0007156585,1083.903774250908,760.0508782168424,1174847.3918353636
10,,2018-10-15 16:26:42,46.385 sec,49.0,1038.5733190012106,729.5838233973843,1078634.5389411903,1084.4230308345996,758.2964433108918,1175973.309804499
